topo,z,regime,base_gain,cond_gain,sweep,value,diff
ER,16,defect,0.01,0.0002957,K,0.05,-0.0097043
ER,16,transition,0.4833602999999999,0.5299285999999999,K,0.05,0.04656829999999995
BA,4,bistable,0.16582770000000002,0.1696782,K,0.2,0.003850499999999979
BA,4,coop,0.03344299999999989,0.02433110000000005,K,0.2,-0.00911189999999984
BA,4,defect,0.004194600000000048,0.003317400000000137,K,0.2,-0.0008771999999999114
BA,16,bistable,0.37048670000000006,0.3631053999999999,K,0.2,-0.007381300000000146
BA,16,coop,0.0,0.0,K,0.2,0.0
BA,16,defect,0.0007434,-0.0010866,K,0.2,-0.00183
BA,16,transition,0.3674632,0.3320788,K,0.2,-0.03538439999999998
ER,4,coop,0.0,0.0,K,0.2,0.0
ER,4,defect,0.0105818552497452,0.0,K,0.2,-0.0105818552497452
ER,4,transition,0.602103261977574,0.5200450560652395,K,0.2,-0.08205820591233448
ER,16,bistable,0.43359740000000013,0.17053649999999998,K,0.2,-0.26306090000000015
ER,16,coop,0.7689173,0.8364737,K,0.2,0.06755639999999996
ER,16,defect,0.01,0.0,K,0.2,-0.01
ER,16,transition,0.4833602999999999,0.5386649,K,0.2,0.05530460000000009
BA,4,bistable,0.16582770000000002,0.13376280000000007,async,1.0,-0.03206489999999995
BA,4,coop,0.03344299999999989,0.04353590000000018,async,1.0,0.010092900000000293
BA,4,defect,0.004194600000000048,-0.006158899999999967,async,1.0,-0.010353500000000015
BA,16,bistable,0.37048670000000006,0.3494680999999999,async,1.0,-0.021018600000000165
BA,16,coop,0.0,0.0,async,1.0,0.0
BA,16,defect,0.0007434,0.0007513999999999,async,1.0,7.999999999900014e-06
BA,16,transition,0.3674632,0.30591639999999987,async,1.0,-0.061546800000000124
ER,4,coop,0.0,0.0,async,1.0,0.0
ER,4,defect,0.0105818552497452,0.0410625891946993,async,1.0,0.030480733944954104
ER,4,transition,0.602103261977574,0.859759123343527,async,1.0,0.257655861365953
ER,16,bistable,0.43359740000000013,0.8896959,async,1.0,0.45609849999999985
ER,16,coop,0.7689173,0.6023061000000001,async,1.0,-0.16661119999999996
ER,16,defect,0.01,0.1230435999999999,async,1.0,0.11304359999999991
ER,16,transition,0.4833602999999999,0.8100463000000001,async,1.0,0.3266860000000002
