topo,theta,b,r,L,omega,rho_mean,rho_std,seconds
ER_z4,0.2,1.7,0.5,4,0.4997465788139889,0.48350815494393473,0.4987811182521186,10.429786205291748
ER_z4,0.2,1.7,0.6,2,0.39939178915357326,0.0013862385321100918,0.004271659314478469,3.3142037391662598
ER_z4,0.2,1.7,0.6,4,0.39939178915357326,0.18052996941896038,0.38524128812186853,10.224132061004639
ER_z4,0.2,1.7,0.7,2,0.2995438418651799,0.0008493374108053009,0.0024099250292567154,3.3177828788757324
ER_z4,0.2,1.7,0.7,4,0.2995438418651799,0.09107584097859328,0.28729872191502737,10.260943174362183
ER_z4,0.2,1.7,0.8,2,0.2002027369488089,0.0004791029561671762,0.0019395226294279583,3.4097259044647217
ER_z4,0.2,1.7,0.8,4,0.2002027369488089,0.050480632008154946,0.21894289854316296,10.103831052780151
ER_z4,0.2,1.7,0.9,2,0.099341104916371,0.0005502548419979614,0.002165610152035169,3.2994654178619385
ER_z4,0.2,1.7,0.9,4,0.099341104916371,0.010652395514780835,0.09996259383138834,10.139477014541626
ER_z4,0.2,1.7,1.0,2,0.0005068423720223011,0.0002836901121304792,0.0015798181316721935,3.28410005569458
ER_z4,0.2,1.7,1.0,4,0.0005068423720223011,0.020324464831804282,0.1406672321120587,10.11064600944519
ER_z4,0.2,1.9,0.0,2,1.0,0.7346607543323141,0.43757242722865536,3.2770230770111084
ER_z4,0.2,1.9,0.0,4,1.0,0.9900343527013251,0.0996564729867482,9.943943977355957
ER_z4,0.2,1.9,0.1,2,0.8996452103395844,0.14672538226299697,0.34581019287443476,3.4498801231384277
ER_z4,0.2,1.9,0.1,4,0.8996452103395844,0.9408796126401632,0.23521236388172578,10.01509714126587
ER_z4,0.2,1.9,0.2,2,0.7992904206791688,0.0002784913353720694,0.001268872876155242,3.3031890392303467
ER_z4,0.2,1.9,0.2,4,0.7992904206791688,0.49089266055045866,0.5015517352928687,10.234531164169312
ER_z4,0.2,1.9,0.3,2,0.6999493157627977,0.0011563710499490317,0.0028967909851378456,3.3084628582000732
ER_z4,0.2,1.9,0.3,4,0.6999493157627977,0.1909827726809378,0.3938058979209937,10.163725137710571
ER_z4,0.2,1.9,0.4,2,0.6001013684744044,6.738022426095827e-05,0.00047405155213435307,3.3258891105651855
ER_z4,0.2,1.9,0.4,4,0.6001013684744044,0.040417125382263004,0.1968678599208146,10.301657915115356
ER_z4,0.2,1.9,0.5,2,0.4997465788139889,0.0,0.0,3.307346820831299
ER_z4,0.2,1.9,0.5,4,0.4997465788139889,0.01,0.09999999999999999,10.370856046676636
ER_z4,0.2,1.9,0.6,2,0.39939178915357326,0.0001360856269113151,0.0006700837562599271,3.309964895248413
ER_z4,0.2,1.9,0.6,4,0.39939178915357326,0.00021661569826707459,0.0008072597441034418,10.340923070907593
ER_z4,0.2,1.9,0.7,2,0.3000506842372022,0.0,0.0,3.2892730236053467
ER_z4,0.2,1.9,0.7,4,0.3000506842372022,0.0,0.0,10.147140741348267
ER_z4,0.2,1.9,0.8,2,0.19969589457678663,0.0,0.0,3.2960691452026367
ER_z4,0.2,1.9,0.8,4,0.19969589457678663,0.0,0.0,9.961724281311035
ER_z4,0.2,1.9,0.9,2,0.09984794728839332,0.0,0.0,3.2731173038482666
ER_z4,0.2,1.9,0.9,4,0.09984794728839332,0.0,0.0,10.117027282714844
