topo,z,regime,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
BA,16,bistable,1.8,0.1,1,K,0.05,0.05,fermi,0.09970559999999999,0.26871188400345614,3.7113189697265625
BA,16,bistable,1.8,0.1,1,K,0.2,0.2,fermi,0.12054450000000001,0.31175605206757023,3.6238269805908203
BA,16,bistable,1.8,0.1,1,async,1.0,0.1,fermi_async,0.1383765,0.32151496842599675,6.732738256454468
BA,16,bistable,1.8,0.1,4,N,250.0,0.1,fermi,0.21,0.40936018074033237,2.6436169147491455
BA,16,bistable,1.8,0.1,4,N,500.0,0.1,fermi,0.37,0.4852365870939097,8.339557886123657
BA,16,bistable,1.8,0.1,4,N,1000.0,0.1,fermi,0.47612750000000004,0.49622415056177754,32.01193022727966
BA,16,bistable,1.8,0.1,4,N,2000.0,0.1,fermi,0.58124915,0.46099012566445363,136.7143120765686
BA,16,bistable,1.8,0.1,4,K,0.05,0.05,fermi,0.4461011,0.4937301807297425,32.05742788314819
BA,16,bistable,1.8,0.1,4,K,0.2,0.2,fermi,0.48364989999999997,0.4988014430845427,32.94436001777649
BA,16,bistable,1.8,0.1,4,async,1.0,0.1,fermi_async,0.48784459999999996,0.4950882802197497,35.05782222747803
ER,4,coop,1.0,0.0,1,N,250.0,0.1,fermi,1.0,0.0,0.6756079196929932
ER,4,coop,1.0,0.0,1,N,500.0,0.1,fermi,1.0,0.0,1.117264747619629
ER,4,coop,1.0,0.0,1,N,1000.0,0.1,fermi,1.0,0.0,2.598155975341797
ER,4,coop,1.0,0.0,1,N,2000.0,0.1,fermi,0.999970489296636,0.0002951070336391747,3.6673078536987305
ER,4,coop,1.0,0.0,1,K,0.05,0.05,fermi,1.0,0.0,2.6048200130462646
ER,4,coop,1.0,0.0,1,K,0.2,0.2,fermi,1.0,0.0,2.6209867000579834
ER,4,coop,1.0,0.0,1,async,1.0,0.1,fermi_async,1.0,0.0,4.203550815582275
ER,4,coop,1.0,0.0,4,N,250.0,0.1,fermi,1.0,0.0,1.7659950256347656
ER,4,coop,1.0,0.0,4,N,500.0,0.1,fermi,1.0,0.0,4.280619144439697
ER,4,coop,1.0,0.0,4,N,1000.0,0.1,fermi,1.0,0.0,9.936236143112183
ER,4,coop,1.0,0.0,4,N,2000.0,0.1,fermi,0.999970489296636,0.0002951070336391747,21.89156723022461
ER,4,coop,1.0,0.0,4,K,0.05,0.05,fermi,1.0,0.0,10.373595952987671
ER,4,coop,1.0,0.0,4,K,0.2,0.2,fermi,1.0,0.0,9.939941883087158
ER,4,coop,1.0,0.0,4,async,1.0,0.1,fermi_async,1.0,0.0,11.674030065536499
ER,4,defect,1.7,0.5,1,N,250.0,0.1,fermi,0.00021374999999999975,0.002137499999999997,0.9098927974700928
ER,4,defect,1.7,0.5,1,N,500.0,0.1,fermi,0.0,0.0,1.33565092086792
ER,4,defect,1.7,0.5,1,N,1000.0,0.1,fermi,0.0004608562691131499,0.0018273529448760253,3.1898586750030518
ER,4,defect,1.7,0.5,1,N,2000.0,0.1,fermi,1.7584097859327232e-05,0.00016537619582286363,4.489962100982666
ER,4,defect,1.7,0.5,1,K,0.05,0.05,fermi,0.017237920489296635,0.013065456686641264,3.073767900466919
ER,4,defect,1.7,0.5,1,K,0.2,0.2,fermi,0.0,0.0,3.033834934234619
ER,4,defect,1.7,0.5,1,async,1.0,0.1,fermi_async,0.001554026503567788,0.004725339311641652,4.834706783294678
ER,4,defect,1.7,0.5,4,N,250.0,0.1,fermi,0.060213749999999996,0.23863854840540297,1.8636970520019531
ER,4,defect,1.7,0.5,4,N,500.0,0.1,fermi,0.01,0.09999999999999999,4.471408128738403
ER,4,defect,1.7,0.5,4,N,1000.0,0.1,fermi,0.011042711518858307,0.09993740690634903,10.292185068130493
ER,4,defect,1.7,0.5,4,N,2000.0,0.1,fermi,5.000000000000004e-05,0.0002798654607501209,22.33069610595703
ER,4,defect,1.7,0.5,4,K,0.05,0.05,fermi,0.01641508664627931,0.012278183811421258,10.33106780052185
ER,4,defect,1.7,0.5,4,K,0.2,0.2,fermi,0.0,0.0,10.29265284538269
ER,4,defect,1.7,0.5,4,async,1.0,0.1,fermi_async,0.04261661569826708,0.19651097265657588,12.084778070449829
ER,4,transition,1.7,0.4,1,N,250.0,0.1,fermi,0.00021374999999999975,0.002137499999999997,0.7939839363098145
ER,4,transition,1.7,0.4,1,N,500.0,0.1,fermi,0.0,0.0,1.292330026626587
ER,4,transition,1.7,0.4,1,N,1000.0,0.1,fermi,0.0005273190621814477,0.0019557116670725384,2.9867937564849854
ER,4,transition,1.7,0.4,1,N,2000.0,0.1,fermi,7.879714576962286e-05,0.0003185261740171563,4.3462018966674805
ER,4,transition,1.7,0.4,1,K,0.05,0.05,fermi,0.01667257900101937,0.013377681750260583,2.9957869052886963
ER,4,transition,1.7,0.4,1,K,0.2,0.2,fermi,0.0,0.0,3.0174739360809326
ER,4,transition,1.7,0.4,1,async,1.0,0.1,fermi_async,0.001516921508664628,0.004956961473980396,4.798525810241699
ER,4,transition,1.7,0.4,4,N,250.0,0.1,fermi,0.3907570833333333,0.48961802395381265,1.8368473052978516
ER,4,transition,1.7,0.4,4,N,500.0,0.1,fermi,0.5311121951219512,0.5005027022988747,4.415607929229736
ER,4,transition,1.7,0.4,4,N,1000.0,0.1,fermi,0.6026305810397554,0.48924298115461695,10.333250999450684
ER,4,transition,1.7,0.4,4,N,2000.0,0.1,fermi,0.6500101936799183,0.47916129699155385,22.61912965774536
ER,4,transition,1.7,0.4,4,K,0.05,0.05,fermi,0.6572075433231396,0.4695807370617257,10.417922973632812
ER,4,transition,1.7,0.4,4,K,0.2,0.2,fermi,0.5200450560652395,0.5020697994323335,10.219407081604004
ER,4,transition,1.7,0.4,4,async,1.0,0.1,fermi_async,0.8612760448521916,0.3455963251057376,11.736432075500488
ER,16,coop,1.2,0.0,1,N,250.0,0.1,fermi,0.0,0.0,0.9813051223754883
ER,16,coop,1.2,0.0,1,N,500.0,0.1,fermi,0.05677560000000001,0.08746020262422623,2.152379035949707
ER,16,coop,1.2,0.0,1,N,1000.0,0.1,fermi,0.2295145,0.024347791776543896,5.334551811218262
ER,16,coop,1.2,0.0,1,N,2000.0,0.1,fermi,0.2383256,0.01791829860474731,7.982249975204468
