topo,z,corr,L,regime,b,theta,orig,realization_mean,realization_std,diff,zscore
ER,4,uncorr,1,transition,1.3,0.5,0.3742435137895812,0.40472746435302487,0.02295639626026127,-0.030483950563443662,-1.3279066199172116
ER,4,uncorr,2,bistable,1.5,0.0,0.6464801838610827,0.8639263868168138,0.07264371857931884,-0.21744620295573103,-2.993324229655232
ER,4,uncorr,2,coop,1.3,0.1,1.0,0.9986086570247934,0.004399812808128038,0.0013913429752065998,0.31622776601683794
ER,4,uncorr,2,defect,1.7,0.0,0.0,0.0006416459021694235,0.0008024863920164773,-0.0006416459021694235,-0.7995723149362124
ER,4,uncorr,2,transition,1.3,0.6,0.374044126659857,0.40570407600289593,0.024648932591707976,-0.03165994934303895,-1.2844349030225153
ER,4,uncorr,3,bistable,1.5,0.1,0.2888244126659857,0.46165582239287684,0.08425791976523139,-0.17283140972689115,-2.051218570413949
ER,4,uncorr,3,coop,1.2,0.1,1.0,0.9999931370558375,2.1702535007881533e-05,6.862944162522311e-06,0.31622776602041885
ER,4,uncorr,3,defect,1.7,0.1,0.0,0.0004110336617586904,0.000653740217361635,-0.0004110336617586904,-0.6287415870137838
ER,4,uncorr,3,transition,1.3,0.3,0.4175955056179774,0.4439075801405584,0.028622054166237698,-0.026312074522580997,-0.9192937155998562
ER,4,uncorr,4,bistable,1.5,0.1,0.5540834525025536,0.6709577498417655,0.06309589935049734,-0.11687429733921184,-1.8523279411547149
ER,4,uncorr,4,coop,1.1,0.3,1.0,0.9999191272734705,0.00011797734675196931,8.087272652945732e-05,0.6854936880338629
ER,4,uncorr,4,defect,1.7,0.0,0.0,0.004856820618480411,0.00714133777570712,-0.004856820618480411,-0.6800995515156821
ER,4,uncorr,4,transition,1.4,0.2,0.5323402451481103,0.68841354957784,0.08968822381984663,-0.15607330442972966,-1.7401761098896134
ER,16,corr,1,bistable,1.1,0.2,0.8319143999999998,0.7908466399999999,0.04890858956759596,0.0410677599999999,0.8396839974957907
ER,16,corr,1,coop,1.1,0.1,0.9963902,0.99858344,0.0013944627425803077,-0.002193239999999985,-1.572820795442425
ER,16,corr,1,defect,1.4,0.0,0.0,0.0017364799999999298,0.001181819180378761,-0.0017364799999999298,-1.4693279892812416
ER,16,corr,1,transition,1.1,0.3,0.3207089999999999,0.31418221,0.010201511961191491,0.0065267899999998935,0.6397865360378986
ER,16,corr,2,coop,1.2,0.0,0.9977264,0.9987049100000001,0.0012101095849826012,-0.0009785100000000435,-0.8086127175119536
ER,16,corr,2,defect,1.4,0.1,0.0,0.0,0.0,0.0,
ER,16,corr,2,transition,1.2,0.3,0.3937659999999999,0.41599248,0.06073388571850516,-0.022226480000000104,-0.3659650578429541
ER,16,corr,3,coop,1.1,0.2,0.9961955,0.9970077499999999,0.0027944424338517283,-0.0008122499999998478,-0.29066621310938245
ER,16,corr,3,defect,1.4,0.1,0.0,6.173999999998e-05,0.0001303722806256935,-6.173999999998e-05,-0.473566924684237
ER,16,corr,3,transition,1.2,0.4,0.3717973999999999,0.3467094,0.04773165948347773,0.025087999999999888,0.5256050234055675
ER,16,corr,4,bistable,1.3,0.2,0.4029704999999999,0.40393637,0.07706336918833674,-0.0009658700000000908,-0.012533451498072728
