topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,1.8,0.3,1,7,0.879317,0.08401127587852025,0.5868449211120605
BA,4,1.8,0.3,2,7,1.0,0.0,0.7020788192749023
BA,4,1.8,0.3,3,7,1.0,0.0,1.7112128734588623
BA,4,1.8,0.3,4,7,1.0,0.0,3.824713945388794
BA,4,2.0,0.3,1,7,0.724766,0.14305222165349266,0.7598938941955566
BA,4,2.0,0.3,2,7,1.0,0.0,0.7110657691955566
BA,4,2.0,0.3,3,7,1.0,0.0,1.7103228569030762
BA,4,2.0,0.3,4,7,1.0,0.0,3.8484561443328857
BA,4,1.8,0.3,1,8,0.8750415,0.09592769339867119,0.5836780071258545
BA,4,1.8,0.3,2,8,1.0,0.0,0.6842458248138428
BA,4,1.8,0.3,3,8,1.0,0.0,1.6110920906066895
BA,4,1.8,0.3,4,8,1.0,0.0,3.6746902465820312
BA,4,2.0,0.3,1,8,0.6616435,0.14770759903749378,0.7281007766723633
BA,4,2.0,0.3,2,8,1.0,0.0,0.684899091720581
BA,4,2.0,0.3,3,8,1.0,0.0,1.6201460361480713
BA,4,2.0,0.3,4,8,1.0,0.0,3.679481267929077
BA,4,1.8,0.3,1,9,0.873236,0.09351323207242687,0.5222079753875732
BA,4,1.8,0.3,2,9,0.9678595,0.03139351516593321,0.6940672397613525
BA,4,1.8,0.3,3,9,0.9941315,0.014389022597653765,1.7471420764923096
BA,4,1.8,0.3,4,9,0.9942854999999999,0.014062261357039476,3.9904491901397705
BA,4,2.0,0.3,1,9,0.7374239999999997,0.12599432820985482,0.6471197605133057
BA,4,2.0,0.3,2,9,0.9677279999999999,0.03779018455129656,0.7211470603942871
BA,4,2.0,0.3,3,9,0.9933195000000001,0.015621693915496901,1.7546308040618896
BA,4,2.0,0.3,4,9,0.994283,0.014069649342879194,3.962190866470337
BA,4,1.8,0.3,1,10,0.9382054999999999,0.16124863656624722,0.8569090366363525
BA,4,1.8,0.3,2,10,0.8903269999999999,0.1728610609739875,0.9418189525604248
BA,4,1.8,0.3,3,10,1.0,0.0,1.7836992740631104
BA,4,1.8,0.3,4,10,1.0,0.0,4.092542886734009
BA,4,2.0,0.3,1,10,0.683999,0.19846529254838433,0.8619236946105957
BA,4,2.0,0.3,2,10,0.8733325000000001,0.2004836499666429,0.8244409561157227
BA,4,2.0,0.3,3,10,0.9838355,0.07228984164459071,1.8229560852050781
BA,4,2.0,0.3,4,10,0.9809875,0.0850264848444295,4.17661190032959
BA,4,1.8,0.3,1,11,0.922665,0.06784717784923168,0.580629825592041
BA,4,1.8,0.3,2,11,1.0,0.0,0.7168679237365723
BA,4,1.8,0.3,3,11,1.0,0.0,1.7087969779968262
BA,4,1.8,0.3,4,11,1.0,0.0,3.799924850463867
BA,4,2.0,0.3,1,11,0.755763,0.1473341635123868,0.7498087882995605
BA,4,2.0,0.3,2,11,1.0,0.0,0.708911657333374
BA,4,2.0,0.3,3,11,1.0,0.0,1.7117090225219727
BA,4,2.0,0.3,4,11,1.0,0.0,3.827144145965576
BA,4,1.8,0.3,1,12,0.9413685,0.06755415365896428,0.5641887187957764
BA,4,1.8,0.3,2,12,1.0,0.0,0.7121100425720215
BA,4,1.8,0.3,3,12,1.0,0.0,1.822700023651123
BA,4,1.8,0.3,4,12,1.0,0.0,1025.5441029071808
BA,4,2.0,0.3,1,12,0.8054095,0.16476447220119037,0.6140978336334229
BA,4,2.0,0.3,2,12,1.0,0.0,0.7343637943267822
BA,4,2.0,0.3,3,12,1.0,0.0,1.839095115661621
BA,4,2.0,0.3,4,12,1.0,0.0,4.030793905258179
BA,4,1.8,0.3,1,13,0.823869,0.20940403730838775,0.6461529731750488
BA,4,1.8,0.3,2,13,0.8743145,0.16097912268937892,1.0630240440368652
BA,4,1.8,0.3,3,13,0.8991364999999998,0.14251778445901153,2.3863449096679688
BA,4,1.8,0.3,4,13,0.9178474999999999,0.1309818086153871,5.069894075393677
BA,4,2.0,0.3,1,13,0.7045780000000003,0.19421563356770552,0.8547358512878418
BA,4,2.0,0.3,2,13,0.8816835000000001,0.1674472390517461,1.0188429355621338
BA,4,2.0,0.3,3,13,0.9120845000000001,0.1392878078117392,2.4621660709381104
BA,4,2.0,0.3,4,13,0.9331529999999999,0.12054129570182029,4.991681098937988
BA,4,1.8,0.3,1,14,0.8858649999999999,0.09133142576122934,0.7964887619018555
BA,4,1.8,0.3,2,14,1.0,0.0,0.7110230922698975
BA,4,1.8,0.3,3,14,1.0,0.0,1.7140319347381592
BA,4,1.8,0.3,4,14,1.0,0.0,3.8001718521118164
BA,4,2.0,0.3,1,14,0.6989485,0.20544826692343285,0.8320658206939697
BA,4,2.0,0.3,2,14,0.9786485,0.09548681084317356,0.7430322170257568
BA,4,2.0,0.3,3,14,1.0,0.0,1.720714807510376
