topo,z,corr,L,regime,b,theta,between_network_mean,between_network_std,n_realizations,within_network_std,ratio
BA,16,corr,3,bistable,1.8,0.1,0.44919542,0.0551507279388405,10,0.4933055672599352,0.11179830838961562
BA,16,corr,3,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,corr,3,defect,2.0,0.6,0.0027687,0.0028444520487745,10,0.0099286872696741,0.28648823067098844
BA,16,corr,3,transition,1.7,0.2,0.48128559,0.052491524353333,10,0.4884983266050657,0.10745487035367188
BA,16,corr,4,bistable,1.8,0.1,0.4633851599999999,0.0440036439192432,10,0.4933856777103455,0.08918711245014421
BA,16,corr,4,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,corr,4,defect,2.0,0.6,0.0027756199999999,0.002544594000709,10,0.00917027471472,0.2774828540986294
BA,16,corr,4,transition,1.7,0.2,0.48282581,0.0514509478533022,10,0.4908212117239552,0.10482625164586191
BA,16,uncorr,1,bistable,1.6,0.0,0.6420616800000001,0.1276585318637427,10,0.4527796164244641,0.2819440788254645
BA,16,uncorr,1,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,uncorr,1,defect,2.0,0.0,0.00554898,0.0072150524962747,10,0.0098334284761704,0.7337270529560592
BA,16,uncorr,1,transition,1.4,0.4,0.52854628,0.1200095661666166,10,0.4250405194324229,0.28234853073977784
BA,16,uncorr,2,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,uncorr,2,defect,2.0,0.6,0.0025710299999999,0.0027694296043489,10,0.0075530255433558,0.36666493294003155
BA,16,uncorr,2,transition,1.8,0.0,0.44659852,0.1264621793340672,10,0.4946117392562585,0.2556796964104143
BA,16,uncorr,3,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,uncorr,3,defect,2.0,0.7,0.0026995699999999,0.0028497105389261,10,0.0091117080476414,0.31275261718506864
BA,16,uncorr,3,transition,1.7,0.1,0.48228669,0.0533446794739112,10,0.4893136407845362,0.10901939988507481
BA,16,uncorr,4,bistable,1.9,0.0,0.420612,0.1121831195433212,10,0.4974221948851839,0.22552897859576926
BA,16,uncorr,4,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,uncorr,4,defect,2.0,0.7,0.0030266999999999,0.0032000971669275,10,0.0091117080476414,0.35120716666902607
BA,16,uncorr,4,transition,1.5,0.4,0.49125856,0.0579669652725143,10,0.4457342725422261,0.13004825709699688
ER,4,corr,1,bistable,1.6,0.2,0.8751409790204592,0.0895785603326633,10,0.3527781658526109,0.2539231987789426
ER,4,corr,1,coop,1.0,0.0,1.0,0.0,10,0.0002328907048008,0.0
ER,4,corr,1,defect,1.7,0.4,0.0004303236913904,0.0007929044237077,10,0.0,
ER,4,corr,1,transition,1.3,0.4,0.4068167253745914,0.023347595285675,10,0.0266986057745259,0.8744874351435902
ER,4,corr,2,bistable,1.9,0.0,0.6822457508053705,0.1567159351628782,10,0.4966589126901138,0.3155403661519708
ER,4,corr,2,coop,1.0,0.0,1.0,0.0,10,0.0002328907048008,0.0
ER,4,corr,2,defect,1.7,0.6,0.000483394848628,0.0007664413961034,10,0.0,
ER,4,corr,2,transition,1.3,0.4,0.5159174466897559,0.0491321652383642,10,0.2314172348101112,0.21230987950694108
