topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,2.0,0.3,1,19,0.6439556999999999,0.2201200064393479,4.342810869216919
BA,4,2.0,0.3,2,19,0.8892609999999997,0.13831174900246615,4.1265058517456055
BA,4,2.0,0.3,3,19,0.9266349999999999,0.09993601806186105,9.55012583732605
BA,4,2.0,0.3,4,19,0.9401130999999999,0.07639552214249373,20.961232900619507
BA,4,1.8,0.3,1,20,0.9174235000000001,0.0809904831592807,3.0853230953216553
BA,4,1.8,0.3,2,20,0.9973875999999998,0.0035256884477083256,3.413971185684204
BA,4,1.8,0.3,3,20,0.9989087999999999,0.0025944265359623326,7.887260913848877
BA,4,1.8,0.3,4,20,0.9991308999999999,0.0023468121920270455,18.275241136550903
BA,4,2.0,0.3,1,20,0.6767405,0.19454048774086719,3.8224902153015137
BA,4,2.0,0.3,2,20,0.9965602,0.004881467112633107,3.391880989074707
BA,4,2.0,0.3,3,20,0.9988376999999999,0.0026608101807874783,7.863749742507935
BA,4,2.0,0.3,4,20,0.9991314,0.0023454805111710374,18.22412109375
BA,4,1.8,0.3,1,21,0.7906093000000002,0.22537474813626496,3.813347816467285
BA,4,1.8,0.3,2,21,0.7431723000000001,0.34845324417411394,6.005552053451538
BA,4,1.8,0.3,3,21,0.7509229,0.31407107325113726,19.91862416267395
BA,4,1.8,0.3,4,21,0.7295229000000001,0.3058134398559938,48.65979599952698
BA,4,2.0,0.3,1,21,0.6261530999999999,0.24020769651709853,3.708266019821167
BA,4,2.0,0.3,2,21,0.7634565000000001,0.30766880952789666,5.475537061691284
BA,4,2.0,0.3,3,21,0.7530988000000001,0.33631848137097187,14.904452085494995
BA,4,2.0,0.3,4,21,0.7414981,0.3462601693556626,38.75125813484192
BA,4,1.8,0.3,1,22,0.8927243999999999,0.10184460850459655,2.9103519916534424
BA,4,1.8,0.3,2,22,0.9933799999999999,0.015873641324185592,3.6808879375457764
BA,4,1.8,0.3,3,22,0.9987778,0.007020224115102266,9.330184936523438
BA,4,1.8,0.3,4,22,0.9995452,0.0045480000000000164,20.45049023628235
BA,4,2.0,0.3,1,22,0.7628758999999999,0.1625047690184115,3.0329110622406006
BA,4,2.0,0.3,2,22,0.9885044,0.01954672218355848,3.662277936935425
BA,4,2.0,0.3,3,22,0.9983303000000001,0.008257901934119585,9.324980020523071
BA,4,2.0,0.3,4,22,0.9991379,0.006074887585940896,20.633162021636963
BA,4,1.8,0.3,1,23,0.9013353,0.13289269128465564,3.205179214477539
BA,4,1.8,0.3,2,23,0.9787720999999999,0.07267024915126595,3.8536620140075684
BA,4,1.8,0.3,3,23,1.0,0.0,8.590649843215942
BA,4,1.8,0.3,4,23,0.9958735,0.02908179087252942,19.093208074569702
BA,4,2.0,0.3,1,23,0.7055677,0.2129094521762002,3.8379440307617188
BA,4,2.0,0.3,2,23,0.9397265999999999,0.1207092694859777,4.375360012054443
BA,4,2.0,0.3,3,23,0.9979608999999999,0.02039099999999999,8.67229700088501
BA,4,2.0,0.3,4,23,0.9958162999999999,0.02952598792486706,19.099059104919434
BA,4,1.8,0.3,1,24,0.8391139000000001,0.09032733482146744,3.341265916824341
BA,4,1.8,0.3,2,24,0.9990013999999999,0.004615868111660419,3.6040549278259277
BA,4,1.8,0.3,3,24,1.0,0.0,8.671592235565186
BA,4,1.8,0.3,4,24,1.0,0.0,19.240137815475464
BA,4,2.0,0.3,1,24,0.6580725999999999,0.15133368391108765,3.296347141265869
BA,4,2.0,0.3,2,24,0.9972886,0.007560088987237656,3.6217880249023438
BA,4,2.0,0.3,3,24,1.0,0.0,8.63982629776001
BA,4,2.0,0.3,4,24,1.0,0.0,19.199308156967163
BA,4,1.8,0.3,1,25,0.924909,0.07282145741191923,2.634097099304199
BA,4,1.8,0.3,2,25,0.9997121999999998,0.0011189213601058544,3.3976590633392334
BA,4,1.8,0.3,3,25,0.9988274,0.011725999999999983,8.089755773544312
BA,4,1.8,0.3,4,25,1.0,0.0,18.62640905380249
BA,4,2.0,0.3,1,25,0.7657256,0.14534832865592467,3.304866075515747
BA,4,2.0,0.3,2,25,0.9856049,0.07058291333988315,3.453139066696167
BA,4,2.0,0.3,3,25,0.9966021,0.03397899999999999,8.129276037216187
BA,4,2.0,0.3,4,25,1.0,0.0,18.590115070343018
BA,4,1.8,0.3,1,26,0.8673098,0.10460721182411929,3.0717320442199707
BA,4,1.8,0.3,2,26,0.9977966,0.022034000000000015,3.608515977859497
BA,4,1.8,0.3,3,26,1.0,0.0,8.817853927612305
BA,4,1.8,0.3,4,26,1.0,0.0,19.311083793640137
BA,4,2.0,0.3,1,26,0.6661604999999997,0.16377024158570566,3.296308994293213
BA,4,2.0,0.3,2,26,0.9957808,0.04219199999999996,3.55061411857605
BA,4,2.0,0.3,3,26,1.0,0.0,8.744569063186646
BA,4,2.0,0.3,4,26,1.0,0.0,19.365870237350464
BA,4,1.8,0.3,1,27,0.8945464999999996,0.07308847370575185,2.8696298599243164
BA,4,1.8,0.3,2,27,0.9978714000000001,0.012225002532068891,3.6214702129364014
BA,4,1.8,0.3,3,27,0.9998935,0.0006127902322058134,9.083618879318237
BA,4,1.8,0.3,4,27,0.9999402000000001,0.00040381258779365303,20.3328800201416
BA,4,2.0,0.3,1,27,0.7715954999999998,0.12690595219203737,3.1343910694122314
BA,4,2.0,0.3,2,27,0.9988801,0.0019739380190447737,3.581484079360962
