topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,bistable,2.0,0.5,4,9,0.7702423999999998,0.1811675008545931,24.28496789932251
BA,16,coop,1.0,0.0,1,0,0.9722974999999999,0.12174011573238855,3.2144598960876465
BA,16,coop,1.0,0.0,4,0,0.9722974999999999,0.12174011573238855,33.63178896903992
BA,16,coop,1.0,0.0,1,1,0.8934622999999999,0.14810535088687116,5.6917712688446045
BA,16,coop,1.0,0.0,4,1,0.8934622999999999,0.14810535088687116,59.77701234817505
BA,16,coop,1.0,0.0,1,2,0.9978149999999999,0.02185000000000002,2.769810914993286
BA,16,coop,1.0,0.0,4,2,0.9978149999999999,0.02185000000000002,28.679968118667603
BA,16,coop,1.0,0.0,1,3,0.9985697,0.014303000000000019,2.97420072555542
BA,16,coop,1.0,0.0,4,3,0.9985697,0.014303000000000019,30.1458261013031
BA,16,coop,1.0,0.0,1,4,0.8691490999999999,0.23089866986110213,3.8830080032348633
BA,16,coop,1.0,0.0,4,4,0.8691490999999999,0.23089866986110213,40.32984709739685
BA,16,coop,1.0,0.0,1,5,1.0,0.0,2.6815290451049805
BA,16,coop,1.0,0.0,4,5,1.0,0.0,27.541297912597656
BA,16,coop,1.0,0.0,1,6,1.0,0.0,2.715776205062866
BA,16,coop,1.0,0.0,4,6,1.0,0.0,28.281412839889526
BA,16,coop,1.0,0.0,1,7,0.8198862,0.20245371017393565,5.330277919769287
BA,16,coop,1.0,0.0,4,7,0.8198862,0.20245371017393565,56.33299493789673
BA,16,coop,1.0,0.0,1,8,1.0,0.0,2.743821859359741
BA,16,coop,1.0,0.0,4,8,1.0,0.0,28.789938926696777
BA,16,coop,1.0,0.0,1,9,1.0,0.0,2.7063560485839844
BA,16,coop,1.0,0.0,4,9,1.0,0.0,27.594692707061768
BA,16,defect,2.0,0.6,1,0,0.002021799999999999,0.00806196900279455,3.251718044281006
BA,16,defect,2.0,0.6,4,0,0.002554099999999998,0.008844788809282448,28.724045991897583
BA,16,defect,2.0,0.6,1,1,0.0012921000000000002,0.007437203408227689,3.226851224899292
BA,16,defect,2.0,0.6,4,1,0.0019825999999999997,0.010059254708621772,28.349377632141113
BA,16,defect,2.0,0.6,1,2,0.004358299999999999,0.01454445251981009,3.3262062072753906
BA,16,defect,2.0,0.6,4,2,0.0038214999999999994,0.013062286709872396,29.253434896469116
BA,16,defect,2.0,0.6,1,3,0.0013576999999999994,0.00711824300972189,3.230454206466675
BA,16,defect,2.0,0.6,4,3,0.0010685999999999998,0.006552526850094711,28.05584216117859
BA,16,defect,2.0,0.6,1,4,0.006150699999999998,0.01564830111506929,3.3929800987243652
BA,16,defect,2.0,0.6,4,4,0.0082158,0.020182296431588878,30.39164900779724
