topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,4,corr,4,bistable,2.0,0.5,7,0.8179964000000001,0.1768722351378719,25.25953507423401
BA,4,corr,4,bistable,2.0,0.5,8,0.7889583000000002,0.20858136283312378,24.222336053848267
BA,4,corr,4,bistable,2.0,0.5,9,0.7702423999999998,0.1811675008545931,25.315011978149414
BA,4,uncorr,1,coop,1.0,0.0,0,0.9978172000000001,0.015403027977274077,2.490102767944336
BA,4,uncorr,1,coop,1.0,0.0,1,1.0,0.0,2.4996979236602783
BA,4,uncorr,1,coop,1.0,0.0,2,0.9923462999999999,0.053850985578612016,2.77532696723938
BA,4,uncorr,1,coop,1.0,0.0,3,1.0,0.0,2.542180061340332
BA,4,uncorr,1,coop,1.0,0.0,4,1.0,0.0,2.4856760501861572
BA,4,uncorr,1,coop,1.0,0.0,5,0.9829079000000001,0.054728298910217035,2.789797782897949
BA,4,uncorr,1,coop,1.0,0.0,6,1.0,0.0,2.524137020111084
BA,4,uncorr,1,coop,1.0,0.0,7,1.0,0.0,2.4815518856048584
BA,4,uncorr,1,coop,1.0,0.0,8,1.0,0.0,2.4840056896209717
BA,4,uncorr,1,coop,1.0,0.0,9,0.9891211999999999,0.020995170453793472,2.52775502204895
BA,4,uncorr,1,defect,2.0,0.6,0,0.5684023,0.06000172628585638,3.8434197902679443
BA,4,uncorr,1,defect,2.0,0.6,1,0.6199994,0.03375317771257944,4.578608751296997
BA,4,uncorr,1,defect,2.0,0.6,2,0.558686,0.09633866087816449,4.515213966369629
BA,4,uncorr,1,defect,2.0,0.6,3,0.6236703,0.07122740595090453,4.167339086532593
BA,4,uncorr,1,defect,2.0,0.6,4,0.5779796,0.06803799885892643,4.216202974319458
BA,4,uncorr,1,defect,2.0,0.6,5,0.5337904,0.10585091608579503,4.212779998779297
BA,4,uncorr,1,defect,2.0,0.6,6,0.5827473000000001,0.0211743182951099,3.679757833480835
BA,4,uncorr,1,defect,2.0,0.6,7,0.6514962,0.027102148365400883,3.9082257747650146
BA,4,uncorr,1,defect,2.0,0.6,8,0.5907768,0.026261834537840815,3.9484357833862305
BA,4,uncorr,1,defect,2.0,0.6,9,0.6399547000000001,0.06029766892415384,3.6391489505767822
BA,4,uncorr,1,bistable,2.0,0.2,0,0.7059197,0.20272462106206435,3.3930649757385254
BA,4,uncorr,1,bistable,2.0,0.2,1,0.8428781,0.1902659746472678,3.2153420448303223
BA,4,uncorr,1,bistable,2.0,0.2,2,0.7061653999999998,0.22363116448773732,3.8901071548461914
BA,4,uncorr,1,bistable,2.0,0.2,3,0.7445181000000001,0.20999949016626424,3.6439578533172607
BA,4,uncorr,1,bistable,2.0,0.2,4,0.7565836,0.20574189436772525,3.4990978240966797
BA,4,uncorr,1,bistable,2.0,0.2,5,0.6932026,0.24853397846117012,3.837877035140991
BA,4,uncorr,1,bistable,2.0,0.2,6,0.7453,0.2051911900662601,3.1556882858276367
BA,4,uncorr,1,bistable,2.0,0.2,7,0.8032561000000001,0.17296012968425392,3.4538018703460693
BA,4,uncorr,1,bistable,2.0,0.2,8,0.7931113000000001,0.20471095597024733,3.2124719619750977
