topo,z,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
ER,16,1.1,0.3,4,K,0.2,0.2,fermi,0.9972926999999998,0.005651482303991062,29.022671699523926
ER,16,1.1,0.3,4,async,1.0,0.1,fermi_async,0.9960622999999998,0.006419476024906205,31.329104900360107
ER,16,1.2,0.3,1,N,250.0,0.1,fermi,0.0,0.0,1.062544822692871
ER,16,1.2,0.3,1,N,500.0,0.1,fermi,0.0012431999999999999,0.012431999999999999,1.7962398529052734
ER,16,1.2,0.3,1,N,1000.0,0.1,fermi,0.10457780000000003,0.03518548583283922,4.085150957107544
ER,16,1.2,0.3,1,N,2000.0,0.1,fermi,0.12402015000000001,0.007985618969798653,6.419219017028809
ER,16,1.2,0.3,1,K,0.05,0.05,fermi,0.11270019999999999,0.03758764900250285,4.103693008422852
ER,16,1.2,0.3,1,K,0.2,0.2,fermi,0.078576,0.03832223283282082,4.0477917194366455
ER,16,1.2,0.3,1,async,1.0,0.1,fermi_async,0.15014099999999997,0.008851834883688283,6.141888856887817
ER,16,1.2,0.3,4,N,250.0,0.1,fermi,0.22,0.4163331998932266,2.7552120685577393
ER,16,1.2,0.3,4,N,500.0,0.1,fermi,0.6708838,0.46996871295558734,8.470005989074707
ER,16,1.2,0.3,4,N,1000.0,0.1,fermi,0.9264798999999999,0.24427752210766468,29.699350118637085
ER,16,1.2,0.3,4,N,2000.0,0.1,fermi,0.9996758,0.001610546478558084,107.96345376968384
ER,16,1.2,0.3,4,K,0.05,0.05,fermi,0.9178607,0.25632048395605184,28.855823040008545
ER,16,1.2,0.3,4,K,0.2,0.2,fermi,0.9139955999999999,0.2688531416750142,29.31135606765747
ER,16,1.2,0.3,4,async,1.0,0.1,fermi_async,0.9960928999999998,0.006349489487949206,30.698075771331787
